Index,Name,Team,LP,GP,W%,OE Rating,Split,,,,,
162,Dec0y,TA,60,53,0.38,C-,Spring 1,,,,,
163,Kenji,WIN,45,41,0.39,C+,Spring 1,,,,,
164,Pancake,AK,55,41,0.39,C,Spring 1,,,,,
165,shochi,IMA,30,12,0.5,A-,Spring 1,,,,,
166,Jeremy,WCA,45,45,0.38,C-,Spring 1,,,,,
167,Toasty,WCA,35,5,0.8,B+,Spring 1,,,,,
168,Kz,INF,40,39,0.38,C+,Spring 1,,,,,
169,donbray,-,30,12,0.5,B,Spring 1,,,,,
170,Triple,CLG,35,15,0.47,B,Spring 1,,,,,
171,Sniper,100X,35,9,0.56,B+,Spring 1,,,,,
172,Spawn,DIG,55,21,0.43,B,Spring 1,,,,,
173,Vakin,GTC,35,18,0.44,B,Spring 1,,,,,
174,Violet,GG,30,7,0.57,B,Spring 1,,,,,
175,Svmmy,-,45,160,0.34,C-,Spring 1,,,,,
176,BMFX,-,25,4,0.75,A-,Spring 1,,,,,
177,baekho,SN,25,19,0.42,B+,Spring 1,,,,,
178,Skeeto,AK,30,36,0.36,C,Spring 1,,,,,
179,Jishuka,NOT,25,16,0.44,B,Spring 1,,,,,
180,Dragoon,NOT,25,7,0.57,B,Spring 1,,,,,
181,dtro18,UCI,25,35,0.37,B,Spring 1,,,,,
182,APA,MU,35,20,0.4,B-,Spring 1,,,,,
183,Yursan,TSM,40,26,0.38,C+,Spring 1,,,,,
184,Faisal,EGP,20,5,0.6,B,Spring 1,,,,,
185,Inori,BOG,50,17,0.41,B-,Spring 1,,,,,
186,Akaadian,GG,25,11,0.45,B,Spring 1,,,,,
187,Gamsu,100,40,20,0.4,C+,Spring 1,,,,,
188,Bejjaniii,BSC,20,11,0.45,B,Spring 1,,,,,
189,DARKWINGS,DIG,40,29,0.38,C,Spring 1,,,,,
190,Jauny,INF,20,15,0.4,B,Spring 1,,,,,
191,Seranok,BSC,40,54,0.35,C-,Spring 1,,,,,
192,Lightpulse,-,30,30,0.37,C,Spring 1,,,,,
193,Misterdot,UCI,35,12,0.42,C+,Spring 1,,,,,
194,Berik,UCI,15,3,0.67,B+,Spring 1,,,,,
195,Fudge,C9,10,1,1,B,Spring 1,,,,,
196,Acce,EST,35,115,0.34,C-,Spring 1,,,,,
197,Qwacker,UI,20,4,0.5,B,Spring 1,,,,,
198,Gavotto,ISG,10,4,0.5,B,Spring 1,,,,,
199,Sneaky,C9,15,4,0.5,B,Spring 1,,,,,
200,Aloned,AZE,15,30,0.37,C,Spring 1,,,,,
201,Ceo,R7,10,7,0.43,B,Spring 1,,,,,
202,Trevor,IMA,25,22,0.36,B-,Spring 1,,,,,
203,Goldenglue,100,15,13,0.38,B,Spring 1,,,,,
204,Getback,MU,20,10,0.4,B-,Spring 1,,,,,
205,Eclipse,DIG,15,7,0.43,B,Spring 1,,,,,
206,Doxa,TG,10,1,1,B+,Spring 1,,,,,
207,dshao,BOG,10,4,0.5,B,Spring 1,,,,,
208,AnDa,-,10,1,1,B,Spring 1,,,,,
